name,source,truth_type,cluster,pdb,chain,n_active,n_true,n_components,same_component,unreachable,min_euclid,median_euclid,min_hop,median_hop,n_true_unreachable,is_distal
ASB_3KGF_2,asbench,curated_allosteric,Phospho-2-dehydro-3-deoxyheptonate aldolase AroG,3KGF,A,18,10,1,True,False,10.078965472706011,16.48604884847289,2.0,3.5,0,False
ASB_3LSW,asbench,curated_allosteric,Glutamate receptor 3,3LSW,A,21,7,1,True,False,3.804563706918313,6.035155258980502,1.0,1.0,0,False
ASB_3LSX,asbench,curated_allosteric,Glutamate receptor 3,3LSX,A,21,2,1,True,False,13.581589045468869,13.88754724845343,3.0,3.0,0,True
ASB_3LU6,asbench,curated_allosteric,Serum albumin,3LU6,A,24,12,1,True,False,12.390514678575704,20.856707738350796,2.0,4.0,0,True
ASB_3M3F,asbench,curated_allosteric,Glutamate receptor 3,3M3F,A,21,12,1,True,False,3.794903029064115,6.974054044151339,1.0,1.0,0,False
ASB_3MW9,asbench,curated_allosteric,"Glutamate dehydrogenase 1, mitochondrial",3MW9,A,10,8,1,True,False,11.203393414497233,14.416179598591096,2.0,3.0,0,False
ASB_3MWB,asbench,curated_allosteric,Prephenate dehydratase,3MWB,A,16,5,1,True,False,10.367848233842935,12.335866973990923,3.0,3.0,0,False
ASB_3N25,asbench,curated_allosteric,Pyruvate kinase PKM,3N25,A,20,10,1,True,False,11.43344593724919,17.81792199889027,2.0,3.0,0,False
ASB_3O2M,asbench,curated_allosteric,Mitogen-activated protein kinase 8,3O2M,A,16,12,1,True,False,22.674631816194946,26.291174186776317,5.0,6.0,0,True
ASB_3PG9,asbench,curated_allosteric,Phospho-2-dehydro-3-deoxyheptonate aldolase,3PG9,A,8,6,1,True,False,39.266231535506435,44.18314233014257,8.0,9.0,0,True
ASB_3PJG,asbench,curated_allosteric,UDP-glucose 6-dehydrogenase,3PJG,A,10,11,1,True,False,6.331715249440708,13.400317906676694,1.0,3.0,0,False
ASB_3PTZ,asbench,curated_allosteric,UDP-glucose 6-dehydrogenase,3PTZ,A,10,21,1,True,False,0.0,6.983788441812939,0.0,1.0,0,False
ASB_3PXF,asbench,curated_allosteric,Cyclin-dependent kinase 2,3PXF,A,30,18,1,True,False,0.0,5.749101174450257,0.0,1.0,0,False
ASB_3PYY,asbench,curated_allosteric,Tyrosine-protein kinase ABL1,3PYY,A,32,12,1,True,False,10.845602518993585,17.20153300112886,2.0,3.5,0,False
ASB_3R1R,asbench,curated_allosteric,Ribonucleoside-diphosphate reductase 1 subunit alpha,3R1R,A,27,11,1,True,False,17.70260435642169,28.006504298109032,4.0,6.0,0,True
ASB_3UO9,asbench,curated_allosteric,"Glutaminase kidney isoform, mitochondrial",3UO9,A,18,8,1,True,False,8.573439799753654,11.019785298495616,2.0,3.0,0,False
ASB_3ZCW,asbench,curated_allosteric,Kinesin-like protein KIF11,3ZCW,A,23,19,1,True,False,3.8151975047171542,12.641032948299756,1.0,3.0,0,False
ASB_4B1F,asbench,curated_allosteric,Glutamate racemase,4B1F,A,23,14,1,True,False,0.0,4.57096104119839,0.0,1.0,0,False
ASB_4B2D,asbench,curated_allosteric,Pyruvate kinase PKM,4B2D,A,20,11,1,True,False,8.335430162865022,14.67869452642162,2.0,3.0,0,False
ASB_4BBG,asbench,curated_allosteric,Kinesin-like protein KIF11,4BBG,A,23,14,1,True,False,0.0,5.403878987200494,0.0,1.0,0,False
ASB_4CFE,asbench,curated_allosteric,5'-AMP-activated protein kinase catalytic subunit alpha-2,4CFE,A,27,10,1,True,False,0.0,4.809681768828389,0.0,1.0,0,False
ASB_4E6C,asbench,curated_allosteric,Mitogen-activated protein kinase 14,4E6C,A,30,4,1,True,False,20.817008838927844,22.018804822379217,4.0,4.0,0,True
ASB_4G1N,asbench,curated_allosteric,Pyruvate kinase PKM,4G1N,A,20,9,1,True,False,12.314450211032565,22.78769145832899,3.0,4.0,0,True
ASB_4GRS,asbench,curated_allosteric,2-dehydro-3-deoxyphosphoheptonate aldolase,4GRS,A,8,7,1,True,False,27.749879206944307,35.31713847411763,5.0,7.0,0,True
ASB_4HO6,asbench,curated_allosteric,Glucose-1-phosphate thymidylyltransferase,4HO6,A,29,12,1,True,False,3.766727757616682,10.476050258179264,1.0,2.0,0,False
ASB_4HYW,asbench,curated_allosteric,Pyruvate kinase 1,4HYW,A,21,15,1,True,False,19.378072891802223,28.95348367640758,4.0,5.0,0,True
ASB_4JA8,asbench,curated_allosteric,"Isocitrate dehydrogenase [NADP], mitochondrial",4JA8,A,32,11,1,True,False,9.349786414672796,16.740323085293184,2.0,3.0,0,False
ASB_4JKT,asbench,curated_allosteric,"Glutaminase kidney isoform, mitochondrial",4JKT,A,18,8,1,True,False,5.766627003717162,9.108729759035139,1.0,2.0,0,False
ASB_4KZT,asbench,curated_allosteric,N-acetylglutamate kinase / N-acetylglutamate synthase,4KZT,A,27,14,1,True,False,0.0,8.065235418731799,0.0,1.5,0,False
ASB_4LRL,asbench,curated_allosteric,HD domain protein,4LRL,B,26,3,1,True,False,12.737986065308755,12.922271085223372,3.0,3.0,0,True
ASB_4MRA,asbench,curated_allosteric,"Glycogen phosphorylase, muscle form",4MRA,A,4,9,1,True,False,15.563593993676395,23.067164628536382,3.0,5.0,0,True
ASB_4PFK,asbench,curated_allosteric,ATP-dependent 6-phosphofructokinase,4PFK,A,27,8,1,True,False,21.369069493078072,28.902538704121504,4.0,4.5,0,True
CAS_11BA,casbench,curated_allosteric,CAS0051,11BA,A,29,8,1,True,False,6.677476394567036,10.023052589701482,1.0,2.0,0,False
CAS_11BG,casbench,curated_allosteric,CAS0051,11BG,A,29,8,1,True,False,6.696890248466077,9.957960903423713,1.0,2.0,0,False
CAS_1BOZ,casbench,curated_allosteric,CAS0060,1BOZ,A,20,30,1,True,False,3.796638644906833,6.088172976350982,1.0,1.0,0,False
CAS_1BSR,casbench,curated_allosteric,CAS0051,1BSR,A,29,8,1,True,False,6.905222009465012,10.001851598385908,1.0,2.0,0,False
CAS_1BZC,casbench,curated_allosteric,CAS0079,1BZC,A,41,18,1,True,False,11.309352501359216,15.789248636125556,2.0,3.0,0,False
CAS_1BZJ,casbench,curated_allosteric,CAS0079,1BZJ,A,41,18,1,True,False,11.333526767957094,15.862015362379553,2.0,3.0,0,False
CAS_1C83,casbench,curated_allosteric,CAS0079,1C83,A,41,18,1,True,False,11.373469171717131,15.87964103350472,2.0,3.0,0,False
CAS_1C84,casbench,curated_allosteric,CAS0079,1C84,A,41,18,1,True,False,11.460949393483947,15.857135922171096,2.0,3.0,0,False
CAS_1C85,casbench,curated_allosteric,CAS0079,1C85,A,41,18,1,True,False,11.340782953570711,15.876963490798339,2.0,3.0,0,False
CAS_1C86,casbench,curated_allosteric,CAS0079,1C86,A,41,18,1,True,False,11.370883167107118,15.850600160112279,2.0,3.0,0,False
CAS_1C87,casbench,curated_allosteric,CAS0079,1C87,A,41,18,1,True,False,11.301808395119782,15.864023756772834,2.0,3.0,0,False
CAS_1C88,casbench,curated_allosteric,CAS0079,1C88,A,41,18,1,True,False,11.363249271225198,15.939585179337193,2.0,3.0,0,False
CAS_1CZA,casbench,curated_allosteric,CAS0027,1CZA,N,19,15,1,True,False,71.94709090018858,77.25157127851834,13.0,15.0,0,True
CAS_1DGK,casbench,curated_allosteric,CAS0027,1DGK,N,19,15,1,True,False,72.12234051942575,77.39275051967077,13.0,15.0,0,True
CAS_1DHF,casbench,curated_allosteric,CAS0060,1DHF,A,20,30,1,True,False,3.7912627184092615,6.165993156216852,1.0,1.0,0,False
CAS_1DLR,casbench,curated_allosteric,CAS0060,1DLR,A,20,30,1,True,False,3.7974515138445146,6.015752320466756,1.0,1.0,0,False
CAS_1DLS,casbench,curated_allosteric,CAS0060,1DLS,A,20,30,1,True,False,3.8314771302984454,5.916907232354227,1.0,1.0,0,False
CAS_1DRE,casbench,curated_allosteric,CAS0061,1DRE,A,20,37,1,True,False,2.9356644903667024,7.1627135919286875,1.0,1.0,0,False
CAS_1DRF,casbench,curated_allosteric,CAS0060,1DRF,A,20,30,1,True,False,3.7844526684845716,5.928334050673609,1.0,1.0,0,False
CAS_1ECV,casbench,curated_allosteric,CAS0079,1ECV,A,41,18,1,True,False,11.417505244141555,15.87323629811609,2.0,3.0,0,False
CAS_1FIN,casbench,curated_allosteric,CAS0091,1FIN,A,41,26,1,True,False,3.771714994534985,6.623694990017931,1.0,1.0,0,False
CAS_1FUO,casbench,curated_allosteric,CAS0085,1FUO,A,12,9,1,True,False,4.878384773672522,8.63285230963672,1.0,2.0,0,False
CAS_1FUP,casbench,curated_allosteric,CAS0085,1FUP,A,12,9,1,True,False,4.907679390506262,8.67148113069502,1.0,2.0,0,False
CAS_1FUQ,casbench,curated_allosteric,CAS0085,1FUQ,A,12,9,1,True,False,4.897686596751575,8.506274977920718,1.0,2.0,0,False
CAS_1G1G,casbench,curated_allosteric,CAS0079,1G1G,A,41,18,1,True,False,11.591255755956729,16.13677433178078,2.0,3.0,0,False
CAS_1G7G,casbench,curated_allosteric,CAS0079,1G7G,A,41,18,1,True,False,11.282034346694749,16.040276044977958,2.0,3.0,0,False
CAS_1GFY,casbench,curated_allosteric,CAS0079,1GFY,A,41,18,1,True,False,11.429349981516884,15.917754207380248,2.0,3.0,0,False
CAS_1GOS,casbench,curated_allosteric,CAS0086,1GOS,A,46,17,1,True,False,4.918307432440557,11.972244609930087,1.0,2.0,0,False
CAS_1HFP,casbench,curated_allosteric,CAS0060,1HFP,A,20,30,1,True,False,3.747402567112319,6.100394622619938,1.0,1.0,0,False
CAS_1HFQ,casbench,curated_allosteric,CAS0060,1HFQ,A,20,30,1,True,False,3.7755664475678334,6.124824210881847,1.0,1.0,0,False
CAS_1HFR,casbench,curated_allosteric,CAS0060,1HFR,A,20,30,1,True,False,3.7927706231724585,5.923306758858715,1.0,1.0,0,False
CAS_1I00,casbench,curated_allosteric,CAS0080,1I00,A,18,8,1,True,False,3.76650992299237,9.15466243779121,1.0,2.0,0,False
CAS_1I2D,casbench,curated_allosteric,CAS0010,1I2D,A,22,21,1,True,False,34.456398085116206,43.073424416918606,9.0,10.0,0,True
CAS_1I4O,casbench,curated_allosteric,CAS0071,1I4O,A,27,20,1,True,False,3.7800747347109454,11.423072137944082,1.0,2.0,0,False
CAS_1IBC,casbench,curated_allosteric,CAS0070,1IBC,B,14,5,1,True,False,5.698613427843652,9.741668029654878,1.0,2.0,0,False
CAS_1IBW,casbench,curated_allosteric,CAS0074,1IBW,B,12,1,1,True,False,11.319549593512987,11.319549593512987,2.0,2.0,0,False
CAS_1ICE,casbench,curated_allosteric,CAS0070,1ICE,B,14,5,1,True,False,5.282922108076173,9.543213609680965,1.0,2.0,0,False
CAS_1JUJ,casbench,curated_allosteric,CAS0080,1JUJ,A,18,8,1,True,False,3.7925988451192625,9.392623646088067,1.0,2.0,0,False
CAS_1KAK,casbench,curated_allosteric,CAS0079,1KAK,A,41,18,1,True,False,11.037539626202934,15.642802453254376,2.0,3.0,0,False
CAS_1KAV,casbench,curated_allosteric,CAS0079,1KAV,A,41,18,1,True,False,11.382628387152067,15.820283193064647,2.0,3.0,0,False
CAS_1KMS,casbench,curated_allosteric,CAS0060,1KMS,A,20,30,1,True,False,3.7878216695087437,6.118416278480497,1.0,1.0,0,False
CAS_1KQ7,casbench,curated_allosteric,CAS0085,1KQ7,A,12,9,1,True,False,4.698622564113859,8.567713522288182,1.0,2.0,0,False
CAS_1L8G,casbench,curated_allosteric,CAS0079,1L8G,A,41,18,1,True,False,11.274089497604672,15.825696795146385,2.0,3.0,0,False
CAS_1LDN,casbench,curated_allosteric,CAS0029,1LDN,A,38,10,1,True,False,5.249149550165245,10.878835592188665,1.0,2.0,0,False
CAS_1LLD,casbench,curated_allosteric,CAS0028,1LLD,A,32,8,1,True,False,9.947453241910717,14.20345440698567,2.0,3.0,0,False
CAS_1LTH,casbench,curated_allosteric,CAS0028,1LTH,T,32,8,1,True,False,10.15766680886905,14.318848806093413,2.0,3.0,0,False
CAS_1MVS,casbench,curated_allosteric,CAS0060,1MVS,A,20,30,1,True,False,3.7655923836761733,6.003778647377665,1.0,1.0,0,False
CAS_1MVT,casbench,curated_allosteric,CAS0060,1MVT,A,20,30,1,True,False,3.777632194907282,5.940094419968848,1.0,1.0,0,False
CAS_1N3Z,casbench,curated_allosteric,CAS0051,1N3Z,A,29,7,1,True,False,6.685560634681282,9.732598573865051,1.0,2.0,0,False
CAS_1NWE,casbench,curated_allosteric,CAS0079,1NWE,A,41,18,1,True,False,11.492551587876386,15.853875725430882,2.0,3.0,0,False
CAS_1NXE,casbench,curated_allosteric,CAS0001,1NXE,A,17,18,1,True,False,13.290649382178435,19.347303274483213,3.0,4.0,0,True
CAS_1NXG,casbench,curated_allosteric,CAS0001,1NXG,A,17,18,1,True,False,13.291973743579245,19.0722128657816,3.0,4.0,0,True
CAS_1OHJ,casbench,curated_allosteric,CAS0060,1OHJ,A,20,30,1,True,False,3.7414613455172847,6.351646215999236,1.0,1.0,0,False
CAS_1OHK,casbench,curated_allosteric,CAS0060,1OHK,A,20,30,1,True,False,3.736569683546663,5.909594125326533,1.0,1.0,0,False
CAS_1OJ9,casbench,curated_allosteric,CAS0086,1OJ9,A,46,17,1,True,False,4.9223364370997595,11.842354748950909,1.0,2.0,0,False
CAS_1OJA,casbench,curated_allosteric,CAS0086,1OJA,A,46,17,1,True,False,4.852371791196546,11.741497732401942,1.0,2.0,0,False
CAS_1OJC,casbench,curated_allosteric,CAS0086,1OJC,A,46,17,1,True,False,4.92726800570052,11.797086504726497,1.0,2.0,0,False
CAS_1OWC,casbench,curated_allosteric,CAS0001,1OWC,A,17,18,1,True,False,13.34883024837757,19.32809568896583,3.0,4.0,0,True
CAS_1PD8,casbench,curated_allosteric,CAS0060,1PD8,A,20,30,1,True,False,3.7903005157902716,5.976491476728342,1.0,1.0,0,False
CAS_1PD9,casbench,curated_allosteric,CAS0060,1PD9,A,20,30,1,True,False,3.8042179222541908,5.989057259650266,1.0,1.0,0,False
CAS_1PSD,casbench,curated_allosteric,CAS0040,1PSD,A,45,11,1,True,False,22.372123904537986,27.612486070616676,4.0,5.0,0,True
CAS_1PTT,casbench,curated_allosteric,CAS0079,1PTT,A,41,18,1,True,False,11.338301548291968,16.000352151728542,2.0,3.0,0,False
CAS_1PTU,casbench,curated_allosteric,CAS0079,1PTU,A,41,18,1,True,False,11.3902662831033,15.893031418464346,2.0,3.0,0,False
CAS_1PTV,casbench,curated_allosteric,CAS0079,1PTV,A,41,18,1,True,False,11.275940093845835,15.817788120043499,2.0,3.0,0,False
CAS_1PYA,casbench,curated_allosteric,CAS0074,1PYA,B,12,1,1,True,False,10.706124508896771,10.706124508896771,2.0,2.0,0,False
CAS_1Q1M,casbench,curated_allosteric,CAS0079,1Q1M,A,41,18,1,True,False,11.183978674872373,15.744934148990424,2.0,3.0,0,False
