protein,cluster,is_distal,best_ham,best_score,best_minhop,auc,p5
CAS_1JUJ,CAS0080,0,binary/comb,green_zero_0.05,1,1.0,0.2
CAS_1KAK,CAS0079,0,binary/comb,R,3,0.85,0.6
CAS_1LDN,CAS0029,0,hnew/full,green_lmax_0.05,2,0.9545,0.8
CAS_1LLD,CAS0028,0,hnew/full,neg_ED_final,2,0.9619,0.8
CAS_1LTH,CAS0028,0,binary/adj,neg_dE,3,1.0,0.2
CAS_1MVS,CAS0060,0,binary/adj,green_lmax_0.05,1,1.0,0.4
CAS_1NXG,CAS0001,1,binary/comb,p_avg,3,1.0,0.4
CAS_1OHJ,CAS0060,0,harm/adj,green_zero_0.01,1,0.8841,0.4
CAS_1OJ9,CAS0086,0,exp/adj,green_zero_0.01,3,1.0,0.2
CAS_1OJA,CAS0086,0,binary/adj,p_avg,3,0.9405,0.6
CAS_1OJC,CAS0086,0,gauss/adj,p_peak,3,0.9394,0.6
CAS_1OWC,CAS0001,1,binary/adj,residLOG,3,1.0,0.2
CAS_1PTV,CAS0079,0,harm/adj,residLOG_dX,3,0.9231,0.6
CAS_1RA2,CAS0061,0,hnew/full,green_zero_0.05,2,1.0,1.0
CAS_1RA3,CAS0061,0,hnew/full,green_zero_0.05,1,0.9333,1.0
CAS_1RA8,CAS0061,0,binary/comb,p_peak,2,1.0,1.0
CAS_1RB2,CAS0061,0,binary/comb,green_zero_0.05,2,1.0,1.0
CAS_1RB3,CAS0061,0,hnew/full,green_zero_0.05,2,0.8625,0.8
CAS_1RC4,CAS0061,0,binary/adj,QMI,2,1.0,1.0
CAS_1RD7,CAS0061,0,exp/sym,neg_dD_mean,1,1.0,1.0
CAS_1RE7,CAS0061,0,binary/comb,neg_dD_mean,2,1.0,1.0
CAS_1RG7,CAS0061,0,exp/sym,residLOG_dE,1,1.0,0.6
CAS_1RH3,CAS0061,0,harm/adj,p_peak,2,0.925,1.0
CAS_1RWM,CAS0070,0,harm/adj,R,1,0.8929,0.4
CAS_1RWN,CAS0070,0,binary/adj,QMI,1,1.0,0.2
CAS_1RWO,CAS0070,0,exp/adj,pavg_over_dE,1,1.0,0.2
CAS_1RX4,CAS0061,0,exp/sym,p_avg,1,0.9833,1.0
CAS_1RX5,CAS0061,0,harm/adj,neg_dD_mean,1,0.8681,1.0
CAS_1RX6,CAS0061,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_1RX7,CAS0061,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_1S2Q,CAS0086,0,exp/adj,neg_ED_final,3,1.0,0.2
CAS_1S2Y,CAS0086,0,exp/adj,neg_dD_mean,3,1.0,0.2
CAS_1S3B,CAS0086,0,binary/comb,neg_dD_mean,3,1.0,0.2
CAS_1S3E,CAS0086,0,binary/adj,p_peak,3,1.0,0.2
CAS_1S3V,CAS0060,0,binary/comb,neg_dD_mean,1,1.0,0.2
CAS_1TQ9,CAS0051,0,binary/adj,neg_dD_mean,2,1.0,0.4
CAS_1U71,CAS0060,0,exp/sym,QMI,1,0.9375,0.8
CAS_1XTU,CAS0050,0,binary/sym,green_zero_0.05,2,1.0,1.0
CAS_1XTV,CAS0050,0,binary/sym,pavg_over_dE,2,1.0,0.8
CAS_2AZR,CAS0079,0,binary/sym,p_peak,3,1.0,0.4
CAS_2B07,CAS0079,0,exp/sym,neg_ED_final,3,0.975,0.8
CAS_2BK3,CAS0086,0,exp/adj,residLOG_dX,3,1.0,0.6
CAS_2BK4,CAS0086,0,binary/adj,p_peak,3,0.8851,0.4
CAS_2BK5,CAS0086,0,gauss/adj,pavg_over_dX,3,0.9556,0.6
CAS_2BYB,CAS0086,0,binary/adj,green_zero_0.01,3,0.9474,0.4
CAS_2C2S,CAS0060,0,harm/sym,neg_ED_final,1,0.875,0.6
CAS_2C2T,CAS0060,0,binary/sym,neg_dD_mean,1,0.881,0.2
CAS_2C64,CAS0086,0,binary/sym,QMI,3,0.9583,0.6
CAS_2C65,CAS0086,0,exp/comb,R,2,0.9655,0.2
CAS_2C66,CAS0086,0,exp/comb,R,1,1.0,0.2
CAS_2C67,CAS0086,0,exp/sym,green_lmax_0.05,3,0.9744,0.6
CAS_2C70,CAS0086,0,binary/adj,QMI,3,0.9216,0.6
CAS_2C72,CAS0086,0,exp/adj,neg_ED_final,3,1.0,0.2
CAS_2C73,CAS0086,0,gauss/adj,green_zero_0.05,3,0.9167,0.6
CAS_2C75,CAS0086,0,binary/comb,neg_dD_mean,3,1.0,0.2
CAS_2C76,CAS0086,0,gauss/adj,p_peak,3,0.8772,0.4
CAS_2EWN,CAS0011,0,exp/adj,neg_ED_final,1,0.9531,0.4
CAS_2H4W,CAS0070,0,exp/adj,pavg_over_dE,1,1.0,0.2
CAS_2H4Y,CAS0070,0,exp/adj,residLOG,1,1.0,0.2
CAS_2H51,CAS0070,0,binary/sym,QMI,1,1.0,0.2
CAS_2H54,CAS0070,0,binary/comb,pavg_over_dX,1,1.0,0.2
CAS_2HB1,CAS0079,0,exp/adj,residLOG_dX,3,1.0,0.4
CAS_2HBQ,CAS0070,0,harm/adj,pavg_over_dE,1,1.0,0.2
CAS_2HBR,CAS0070,0,binary/adj,p_peak,1,1.0,0.2
CAS_2HBY,CAS0070,0,exp/adj,pavg_over_dE,2,1.0,0.2
CAS_2HBZ,CAS0070,0,binary/adj,p_avg,1,1.0,0.2
CAS_2HIM,CAS0030,0,exp/adj,QMI,1,1.0,0.2
CAS_2JFY,CAS0054,0,exp/sym,neg_dD_mean,1,1.0,0.2
CAS_2NTA,CAS0079,0,binary/adj,residLOG_dX,3,1.0,0.2
CAS_2P2D,CAS0030,0,hnew/full,neg_ED_final,2,0.9531,0.6
CAS_2PSQ,CAS0067,0,binary/adj,neg_ED_final,4,1.0,0.8
CAS_2QBQ,CAS0079,0,binary/adj,green_zero_0.05,3,1.0,0.2
CAS_2V5Z,CAS0086,0,binary/sym,green_lmax_0.05,3,0.8125,0.2
CAS_2V60,CAS0086,0,exp/adj,green_zero_0.01,3,1.0,0.2
CAS_2V61,CAS0086,0,gauss/adj,QMI,3,0.881,0.4
CAS_2VRL,CAS0086,0,binary/adj,green_zero_0.05,3,1.0,0.2
CAS_2VRM,CAS0086,0,gauss/adj,QMI,3,0.9556,0.6
CAS_2VZ2,CAS0086,0,binary/sym,neg_dE,2,0.8526,0.8
CAS_2W3A,CAS0060,0,exp/sym,QMI,1,0.9167,0.6
CAS_2W3M,CAS0060,0,exp/sym,p_avg,1,0.9062,0.6
CAS_2XCG,CAS0086,0,gauss/sym,green_lmax_0.05,3,0.8889,0.6
CAS_2XFN,CAS0086,0,gauss/adj,p_peak,3,0.9583,0.6
CAS_2XFO,CAS0086,0,binary/adj,p_avg,3,1.0,0.6
CAS_2XFP,CAS0086,0,binary/adj,residLOG_dX,3,0.9318,0.6
CAS_2XFQ,CAS0086,0,binary/sym,green_lmax_0.05,3,0.8854,0.4
CAS_2XFU,CAS0086,0,exp/adj,pavg_over_dE,3,0.8824,0.4
CAS_2YM4,CAS0015,0,binary/comb,green_lmax_0.05,2,1.0,0.8
CAS_2YM8,CAS0015,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_2Z60,CAS0052,0,gauss/adj,green_zero_0.01,3,0.9375,1.0
CAS_2ZN7,CAS0079,0,harm/comb,residRAW_dX,1,0.8519,0.4
CAS_3CSM,CAS0016,0,exp/comb,neg_ED_final,3,1.0,0.2
CAS_3D6F,CAS0070,0,exp/adj,pavg_over_dE,1,1.0,0.2
CAS_3D6H,CAS0070,0,binary/comb,neg_ED_final,1,1.0,0.2
CAS_3D6M,CAS0070,0,exp/sym,residLOG_dX,1,1.0,0.2
CAS_3DJO,CAS0051,0,binary/adj,neg_dE,1,1.0,0.2
CAS_3DJQ,CAS0051,0,binary/adj,green_zero_0.05,1,0.8333,0.6
CAS_3DJV,CAS0051,0,binary/adj,residLOG_dX,1,0.75,0.6
CAS_3DJX,CAS0051,0,binary/adj,residLOG_dX,2,1.0,0.4
CAS_3F8Y,CAS0060,0,harm/adj,neg_dD_mean,1,0.9412,0.4
CAS_3F8Z,CAS0060,0,binary/sym,pavg_over_dE,1,0.9444,0.4
CAS_3FS6,CAS0060,0,binary/sym,neg_dE,1,0.9394,0.4
CAS_3GHC,CAS0060,0,hnew/full,neg_ED_final,1,0.7955,0.4
CAS_3GHW,CAS0060,0,harm/adj,green_zero_0.01,1,0.9667,0.6
CAS_3GYF,CAS0060,0,binary/comb,residLOG_dE,1,1.0,0.2
CAS_3HMI,CAS0056,0,exp/sym,neg_dD_mean,2,0.8194,0.2
CAS_3I1Y,CAS0002,1,binary/sym,neg_dE,4,0.937,0.8
CAS_3I28,CAS0002,1,gauss/sym,neg_dE,4,0.8768,1.0
CAS_3ION,CAS0003,0,binary/sym,R,1,0.87,0.4
CAS_3IOP,CAS0003,0,exp/adj,neg_ED_final,1,0.8981,0.6
CAS_3KOO,CAS0002,1,gauss/sym,neg_dE,4,0.8676,1.0
CAS_3L9H,CAS0021,0,harm/adj,neg_dD_mean,2,0.9082,0.6
CAS_3NTZ,CAS0060,0,exp/adj,R,1,0.9103,0.4
CAS_3NU0,CAS0060,0,gauss/sym,neg_ED_final,1,0.9861,0.6
CAS_3NXR,CAS0060,0,binary/sym,neg_dE,1,0.9697,0.6
CAS_3NXT,CAS0060,0,gauss/sym,QMI,1,0.8235,0.6
CAS_3NXX,CAS0060,0,harm/adj,green_zero_0.05,1,0.9375,0.4
CAS_3NZD,CAS0060,0,harm/adj,R,1,0.8971,0.2
CAS_3OTQ,CAS0002,1,gauss/sym,neg_dE,1,0.9425,1.0
CAS_3PO7,CAS0086,0,harm/comb,R,2,1.0,0.2
CAS_3RI1,CAS0067,0,harm/adj,neg_dD_mean,4,1.0,0.6
CAS_3RWP,CAS0003,0,binary/adj,green_zero_0.01,1,0.8,0.6
CAS_3S7A,CAS0060,0,hnew/full,green_zero_0.01,2,1.0,1.0
CAS_3ZYX,CAS0086,0,binary/sym,neg_dE,2,0.9722,0.2
CAS_4A79,CAS0086,0,exp/adj,green_zero_0.01,3,1.0,0.2
CAS_4A7A,CAS0086,0,binary/adj,p_peak,3,1.0,0.2
CAS_4B1F,CAS0054,0,exp/adj,green_zero_0.01,2,1.0,0.6
CAS_4CRT,CAS0086,0,gauss/adj,neg_dD_mean,2,0.85,0.2
CAS_4CSM,CAS0016,0,binary/comb,R,3,0.9688,0.4
CAS_4EJ1,CAS0061,0,exp/sym,p_avg,2,1.0,1.0
CAS_4EY5,CAS0004,0,binary/comb,green_zero_0.05,1,1.0,0.4
CAS_4EZ7,CAS0091,0,exp/comb,R,1,0.7905,0.4
CAS_4FHB,CAS0061,0,hnew/full,green_zero_0.05,2,0.9048,1.0
CAS_4FST,CAS0015,0,exp/adj,green_lmax_0.05,1,1.0,1.0
CAS_4FSY,CAS0015,0,exp/comb,green_zero_0.01,1,0.9707,1.0
CAS_4FT7,CAS0015,0,exp/adj,green_lmax_0.05,1,0.9943,1.0
CAS_4FTA,CAS0015,0,exp/adj,green_lmax_0.05,1,0.9923,1.0
CAS_4FTN,CAS0015,0,harm/comb,green_zero_0.05,1,1.0,1.0
CAS_4FTO,CAS0015,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_4FTR,CAS0015,0,exp/adj,green_lmax_0.05,1,0.9933,1.0
CAS_4I13,CAS0061,0,binary/comb,R,1,0.7917,1.0
CAS_4I1N,CAS0061,0,binary/adj,neg_ED_final,2,1.0,0.2
CAS_4I8N,CAS0079,0,gauss/adj,pavg_over_dX,3,1.0,0.4
CAS_4JAE,CAS0001,1,binary/adj,neg_ED_final,3,0.8783,0.8
CAS_4JAF,CAS0001,1,exp/comb,QMI,3,0.9414,0.6
CAS_4KD7,CAS0060,0,binary/adj,neg_dE,2,1.0,0.2
CAS_4KEB,CAS0060,0,binary/sym,neg_dE,1,0.875,0.4
CAS_4KJJ,CAS0061,0,binary/adj,pavg_over_dX,1,1.0,1.0
CAS_4M6K,CAS0060,0,binary/adj,green_zero_0.05,1,0.8947,0.4
CAS_4M6L,CAS0060,0,gauss/comb,p_avg,1,1.0,0.4
CAS_4P3R,CAS0061,0,binary/adj,neg_ED_final,2,1.0,0.2
CAS_4QLE,CAS0061,0,binary/adj,green_zero_0.01,2,1.0,1.0
CAS_4QLG,CAS0061,0,hnew/full,green_zero_0.05,2,1.0,1.0
CAS_4R1R,CAS0047,0,binary/adj,p_peak,4,1.0,0.2
CAS_4RQK,CAS0003,0,binary/adj,pavg_over_dX,2,1.0,0.4
CAS_4RQV,CAS0003,0,gauss/adj,green_zero_0.01,1,0.7407,0.8
CAS_4RRV,CAS0003,0,binary/adj,p_avg,2,1.0,0.2
CAS_4X5F,CAS0061,0,hnew/full,green_zero_0.05,2,0.9773,1.0
CAS_4X5G,CAS0061,0,binary/comb,p_avg,2,1.0,1.0
CAS_4X5H,CAS0061,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_4X5I,CAS0061,0,gauss/comb,neg_ED_final,1,0.8308,1.0
CAS_4X5J,CAS0061,0,binary/adj,neg_dE,1,0.8857,0.8
CAS_4XX9,CAS0003,0,binary/sym,green_lmax_0.05,2,1.0,0.4
CAS_4ZHI,CAS0021,0,binary/comb,neg_dE,2,0.855,0.6
CAS_5AHX,CAS0002,1,gauss/sym,neg_dE,4,0.9087,1.0
CAS_5AK5,CAS0002,1,gauss/sym,neg_dE,4,0.9072,1.0
CAS_5AKE,CAS0002,1,binary/comb,residRAW_dX,3,0.88,0.8
CAS_5AKH,CAS0002,1,binary/sym,neg_dE,1,0.9426,1.0
CAS_5AKX,CAS0002,1,gauss/sym,neg_dE,1,0.873,1.0
CAS_5AKY,CAS0002,1,gauss/sym,neg_dE,4,0.945,1.0
CAS_5ALD,CAS0002,1,binary/sym,neg_dE,1,0.9085,1.0
CAS_5ALH,CAS0002,1,gauss/sym,neg_dE,1,0.9789,1.0
CAS_5ALM,CAS0002,1,binary/sym,neg_dE,3,0.9818,1.0
CAS_5ALN,CAS0002,1,gauss/sym,neg_dE,4,0.9006,1.0
CAS_5ALO,CAS0002,1,harm/adj,neg_dD_mean,3,0.8865,1.0
CAS_5ALU,CAS0002,1,gauss/sym,neg_dE,4,0.94,1.0
CAS_5ALV,CAS0002,1,binary/sym,neg_dE,1,0.9286,1.0
CAS_5ALW,CAS0002,1,harm/adj,residRAW_dX,4,0.9333,1.0
CAS_5ALY,CAS0002,1,gauss/sym,neg_dE,4,0.8939,1.0
CAS_5AM0,CAS0002,1,binary/sym,residLOG_dE,4,0.9872,0.6
CAS_5AM4,CAS0002,1,gauss/sym,neg_dE,4,0.9129,1.0
CAS_5AM5,CAS0002,1,gauss/sym,neg_dE,4,0.8859,1.0
CAS_5CC9,CAS0061,0,binary/adj,residLOG_dX,2,1.0,1.0
CAS_5CCC,CAS0061,0,binary/adj,green_lmax_0.05,2,1.0,1.0
CAS_5HF6,CAS0004,0,binary/comb,green_zero_0.05,1,0.9913,0.8
CAS_5HF9,CAS0004,0,binary/comb,residRAW,1,1.0,0.4
CAS_5HQY,CAS0060,0,gauss/sym,neg_ED_final,1,0.9559,0.4
CAS_5HS3,CAS0080,0,binary/adj,pavg_over_dE,2,1.0,0.4
CAS_5HSU,CAS0060,0,binary/sym,neg_dE,1,0.98,0.4
CAS_5HT5,CAS0060,0,harm/adj,QMI,1,0.9688,0.4
CAS_5MRL,CAS0086,0,harm/comb,R,1,0.8889,0.2
CAS_5X67,CAS0080,0,binary/comb,green_zero_0.05,2,1.0,0.4
CAS_7DFR,CAS0061,0,binary/comb,p_avg,2,1.0,1.0
CB_1A4U,P10807,0,exp/adj,neg_dD_mean,2,1.0,0.4
CB_1AK1,P32396,0,exp/adj,R,1,1.0,0.2
CB_1BHS,P14061,0,exp/adj,green_zero_0.01,2,0.96,0.4
CB_1BZJ,P18031,1,binary/adj,p_avg,3,1.0,0.2
CB_1CUZ,P00590,1,binary/comb,green_lmax_0.05,3,1.0,0.2
CB_1DPJ,P07267,0,harm/adj,neg_dE,3,1.0,0.4
CB_1E6K,P0AE67,0,exp/sym,green_lmax_0.05,2,1.0,0.2
CB_1EFH,Q06520,0,harm/sym,neg_dD_mean,2,0.9167,0.4
CB_1EVY,P90551,0,harm/adj,p_avg,1,1.0,0.4
CB_1FVR,Q02763,0,binary/adj,neg_dD_mean,1,1.0,0.2
CB_1FWK,Q58504,0,hnew/full,green_lmax_0.05,2,0.8857,0.6
CB_1HAV,P08617,0,binary/adj,p_avg,2,1.0,0.2
CB_1K0N,O00299,1,binary/sym,QMI,3,1.0,0.6
CB_1KG5,P17802,0,binary/adj,neg_dD_mean,3,0.9048,0.6
CB_1KN9,P00803,0,harm/adj,p_peak,2,1.0,0.8
CB_1KS9,P0A9J4,0,harm/adj,pavg_over_dX,1,0.9423,0.6
CB_1KXR,P97571,0,binary/adj,green_zero_0.05,2,1.0,0.2
CB_1LJU,P0A006,0,binary/adj,p_avg,2,1.0,0.2
CB_1M5W,P0A794,0,exp/sym,pavg_over_dE,1,0.9643,0.8
CB_1N05,O74866,0,exp/adj,neg_dE,2,1.0,0.4
CB_1NBF,Q93009,0,gauss/comb,residLOG_dE,1,1.0,0.2
CB_1NKO,Q9Y286,0,binary/adj,neg_dD_mean,1,1.0,0.4
CB_1NOK,P00489,1,gauss/adj,green_lmax_0.05,4,0.8562,0.6
CB_1NWH,P44801,0,gauss/adj,R,3,0.9333,0.6
CB_1OMX,Q9ES89,0,harm/comb,green_zero_0.05,1,0.9538,0.6
CB_1OS2,P39900,0,exp/adj,residLOG_dE,3,1.0,0.4
CB_1P4V,Q47898,0,binary/sym,pavg_over_dX,1,1.0,0.4
CB_1PTA,P0A434,0,binary/sym,green_lmax_0.05,2,1.0,0.2
CB_1PX5,Q29599,0,hnew/full,residLOG_dE,2,0.9798,0.6
CB_1QRZ,P00747,0,binary/sym,green_lmax_0.05,2,0.9524,0.6
CB_1RJB,P36888,0,gauss/adj,residLOG,2,0.9643,0.4
CB_1RTC,P02879,1,hnew/full,residLOG_dE,2,0.9394,0.4
CB_1S8C,P09601,0,gauss/comb,green_lmax_0.05,1,1.0,0.2
CB_1SH0,Q70ET3,0,binary/adj,green_zero_0.05,1,0.9825,0.2
CB_1SND,P00644,0,binary/adj,p_peak,1,0.9524,0.6
CB_1SUL,P38424,0,exp/sym,residLOG_dE,1,1.0,0.2
CB_1TQN,P08684,0,harm/sym,QMI,1,1.0,0.2
CB_1UKA,P96965,0,binary/adj,R,2,1.0,0.2
CB_1VSN,P43235,0,gauss/sym,QMI,2,1.0,0.4
CB_1WXE,P18843,0,binary/adj,R,3,1.0,0.2
CB_1X0M,O57946,0,exp/sym,residLOG,1,0.9362,0.4
CB_1XJF,O33839,0,gauss/adj,neg_dD_mean,1,0.8867,0.6
CB_1XQZ,P11309,0,exp/sym,green_lmax_0.05,1,0.9079,0.2
CB_1XTC,P01555,0,binary/adj,p_avg,1,1.0,0.2
CB_1YS0,P30305,0,binary/comb,green_zero_0.05,1,1.0,0.4
CB_1Z90,Q9M9P3,0,binary/adj,neg_ED_final,1,1.0,0.4
CB_2CAM,P02701,0,gauss/sym,neg_ED_final,1,1.0,0.4
CB_2CI4,P56965,0,hnew/full,green_lmax_0.05,1,0.9697,0.6
CB_2DH4,Q12051,0,exp/sym,p_peak,2,1.0,0.4
CB_2E2O,Q96Y14,0,binary/comb,pavg_over_dE,1,1.0,0.2
CB_2E3M,Q9Y5P4,0,binary/adj,green_zero_0.01,3,1.0,0.2
CB_2FRS,P29373,0,hnew/full,p_avg,2,1.0,0.6
CB_2GCB,P15925,0,gauss/adj,residLOG_dX,1,1.0,0.2
