protein,frac_top1,n_cells,k,n,cluster,chance,excess
CAS_4JAE,0.02403846153846154,208,1,9,CAS0001,0.1111111111111111,-0.08707264957264957
CAS_4JAF,0.038461538461538464,208,1,9,CAS0001,0.1111111111111111,-0.07264957264957264
CAS_4JAG,0.0673076923076923,208,1,9,CAS0001,0.1111111111111111,-0.0438034188034188
CAS_5AHX,0.11538461538461539,208,1,7,CAS0002,0.14285714285714285,-0.027472527472527458
CAS_5AI4,0.04326923076923077,208,1,8,CAS0002,0.125,-0.08173076923076923
CAS_5AI5,0.0625,208,1,7,CAS0002,0.14285714285714285,-0.08035714285714285
CAS_5AIA,0.03365384615384615,208,1,8,CAS0002,0.125,-0.09134615384615385
CAS_5AK4,0.02403846153846154,208,1,7,CAS0002,0.14285714285714285,-0.11881868131868131
CAS_5AK5,0.07692307692307693,208,1,8,CAS0002,0.125,-0.04807692307692307
CAS_5AKE,0.1875,208,1,7,CAS0002,0.14285714285714285,0.04464285714285715
CAS_5AKH,0.11538461538461539,208,1,8,CAS0002,0.125,-0.009615384615384609
CAS_5AKX,0.04326923076923077,208,1,9,CAS0002,0.1111111111111111,-0.06784188034188034
CAS_5AKY,0.02403846153846154,208,1,8,CAS0002,0.125,-0.10096153846153846
CAS_5ALD,0.03365384615384615,208,1,7,CAS0002,0.14285714285714285,-0.1092032967032967
CAS_5ALF,0.11057692307692307,208,1,7,CAS0002,0.14285714285714285,-0.03228021978021978
CAS_5ALH,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALO,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALU,0.15384615384615385,208,1,9,CAS0002,0.1111111111111111,0.04273504273504275
CAS_5ALV,0.052884615384615384,208,1,7,CAS0002,0.14285714285714285,-0.08997252747252746
CAS_5ALW,0.02403846153846154,208,1,9,CAS0002,0.1111111111111111,-0.08707264957264957
CAS_5ALY,0.014423076923076924,208,1,7,CAS0002,0.14285714285714285,-0.12843406593406592
CAS_5AM0,0.02403846153846154,208,1,8,CAS0002,0.125,-0.10096153846153846
CAS_5AM4,0.04807692307692308,208,1,8,CAS0002,0.125,-0.07692307692307693
CAS_5AM5,0.08173076923076923,208,1,8,CAS0002,0.125,-0.04326923076923077
CB_1BZJ,0.038461538461538464,208,1,9,P18031,0.1111111111111111,-0.07264957264957264
CB_1CUZ,0.0673076923076923,208,1,9,P00590,0.1111111111111111,-0.0438034188034188
CB_1K0N,0.04807692307692308,208,1,8,O00299,0.125,-0.07692307692307693
CB_1NOK,0.15384615384615385,208,1,9,P00489,0.1111111111111111,0.04273504273504275
CB_1RTC,0.009615384615384616,208,1,9,P02879,0.1111111111111111,-0.1014957264957265
CB_1RXD,0.25,208,1,8,Q93096,0.125,0.125
CB_2ZJ7,0.028846153846153848,208,1,9,Q9RBY1,0.1111111111111111,-0.08226495726495725
CB_3BIF,0.03365384615384615,208,1,9,P25114,0.1111111111111111,-0.07745726495726496
CB_3U6K,0.028846153846153848,208,1,9,P0CE47,0.1111111111111111,-0.08226495726495725
CB_4DNC,0.08653846153846154,208,1,9,Q9H7Z6,0.1111111111111111,-0.02457264957264957
CB_4I8Y,0.038461538461538464,208,1,9,P45723,0.1111111111111111,-0.07264957264957264
CB_4TWI,0.03365384615384615,208,1,9,O28597,0.1111111111111111,-0.07745726495726496
CB_5CAE,0.004807692307692308,208,1,9,P53590,0.1111111111111111,-0.1063034188034188
CB_5CK1,0.14903846153846154,208,1,9,Q89ZX5,0.1111111111111111,0.03792735042735043
CB_5GGC,0.014423076923076924,208,1,9,A0QUZ2,0.1111111111111111,-0.09668803418803418
CB_5HQ8,0.07692307692307693,208,1,9,Q9H7B4,0.1111111111111111,-0.03418803418803418
CB_5UXA,0.009615384615384616,208,1,9,O32553,0.1111111111111111,-0.1014957264957265
CB_6KSC,0.009615384615384616,208,1,9,P9WNV1,0.1111111111111111,-0.1014957264957265
CB_6RXD,0.4230769230769231,208,1,9,B7GTV0,0.1111111111111111,0.31196581196581197
CS_2ZB1,0.019230769230769232,208,1,9,2ZB1,0.1111111111111111,-0.09188034188034187
PM_1J8F,0.02403846153846154,208,1,9,Novel cryptic pocket set,0.1111111111111111,-0.08707264957264957
