protein,frac_top1,n_cells,k,n,cluster,chance,excess
CAS_5AKE,0.10576923076923077,208,1,6,CAS0002,0.16666666666666666,-0.06089743589743589
CAS_5AKH,0.15384615384615385,208,2,7,CAS0002,0.2857142857142857,-0.13186813186813184
CAS_5AKX,0.057692307692307696,208,2,8,CAS0002,0.25,-0.1923076923076923
CAS_5AKY,0.03365384615384615,208,1,6,CAS0002,0.16666666666666666,-0.1330128205128205
CAS_5ALD,0.04807692307692308,208,2,6,CAS0002,0.3333333333333333,-0.28525641025641024
CAS_5ALF,0.0673076923076923,208,1,4,CAS0002,0.25,-0.1826923076923077
CAS_5ALH,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALO,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALU,0.16346153846153846,208,2,7,CAS0002,0.2857142857142857,-0.12225274725274723
CAS_5ALV,0.11057692307692307,208,2,5,CAS0002,0.4,-0.28942307692307695
CAS_5ALW,0.02403846153846154,208,1,6,CAS0002,0.16666666666666666,-0.14262820512820512
CAS_5ALY,0.019230769230769232,208,1,6,CAS0002,0.16666666666666666,-0.1474358974358974
CAS_5AM0,0.019230769230769232,208,1,8,CAS0002,0.125,-0.10576923076923077
CAS_5AM4,0.03365384615384615,208,1,5,CAS0002,0.2,-0.16634615384615387
CAS_5AM5,0.02403846153846154,208,2,7,CAS0002,0.2857142857142857,-0.26167582417582413
CB_1K0N,0.04807692307692308,208,1,8,O00299,0.125,-0.07692307692307693
CB_4DNC,0.12980769230769232,208,1,9,Q9H7Z6,0.1111111111111111,0.018696581196581213
CB_4I8Y,0.057692307692307696,208,1,9,P45723,0.1111111111111111,-0.05341880341880341
CB_5CK1,0.1778846153846154,208,1,9,Q89ZX5,0.1111111111111111,0.06677350427350429
CB_5GGC,0.03365384615384615,208,1,9,A0QUZ2,0.1111111111111111,-0.07745726495726496
CB_6KSC,0.009615384615384616,208,1,9,P9WNV1,0.1111111111111111,-0.1014957264957265
CB_6RXD,0.4230769230769231,208,1,9,B7GTV0,0.1111111111111111,0.31196581196581197
CS_2ZB1,0.014423076923076924,208,1,9,2ZB1,0.1111111111111111,-0.09668803418803418
PM_1J8F,0.02403846153846154,208,1,9,Novel cryptic pocket set,0.1111111111111111,-0.08707264957264957
