base,best_auc,best_auc_cell,best_p5,best_p5_cell,cluster,n_drug,n_pockets,n_seeds,null_max_auc,perm_p,protein,reason,run,source,status,truth_type
0.2771,0.6232,exp|adj|R,0.6,binary|adj|R,CAS0002,23,10,83,0.6418,0.655,CAS_5AI5,,fpocket_hop1,casbench,scored,curated_allosteric
0.322,0.7079,exp|adj|R,0.6,exp|adj|R,CAS0002,19,10,59,0.6559,0.11,CAS_5AKE,,fpocket_hop1,casbench,scored,curated_allosteric
0.2432,0.6776,gauss|adj|R,0.8,binary|comb|R,CAS0002,18,10,74,0.6524,0.25,CAS_5ALD,,fpocket_hop1,casbench,scored,curated_allosteric
0.0204,0.9375,exp|comb|R,0.2,exp|comb|R,CAS0002,1,10,49,0.9515,0.745,CAS_5ALN,,fpocket_hop1,casbench,scored,curated_allosteric
0.3125,0.7607,harm|sym|R,0.6,exp|adj|R,CAS0002,25,10,80,0.6344,0.01,CAS_5ALV,,fpocket_hop1,casbench,scored,curated_allosteric
0.3188,0.6054,gauss|sym|residRAW,0.8,exp|adj|residLOG,CAS0002,22,10,69,0.647,0.85,CAS_5AM4,,fpocket_hop1,casbench,scored,curated_allosteric
0.0667,0.7771,harm|sym|R,0.2,exp|adj|R,O00299,5,10,75,0.7725,0.47,CB_1K0N,,fpocket_hop1,cryptobench,scored,drug_contact
0.0761,0.7193,binary|adj|green_lmax_0.05,0.4,binary|adj|green_zero_0.01,Q9RBY1,7,10,92,0.7225,0.51,CB_2ZJ7,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BRK,seeds 73 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CB_3U6K,fpocket none,fpocket_hop1,,not_scored,
0.1077,0.8892,gauss|sym|green_lmax_0.05,0.4,binary|adj|p_avg,P45723,7,10,65,0.7392,0.005,CB_4I8Y,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_4ZOE,seeds 103 drug 0,fpocket_hop1,,not_scored,
0.0678,0.8409,gauss|sym|p_peak,0.4,gauss|sym|p_peak,Q9H7B4,4,10,59,0.8102,0.325,CB_5HQ8,,fpocket_hop1,cryptobench,scored,drug_contact
0.0103,0.9062,gauss|adj|R,0.0,binary|adj|p_avg,Q8RQE8-Q8RQE9,1,10,97,0.9337,0.71,CB_6KQF,,fpocket_hop1,cryptobench,scored,drug_contact
0.05,0.9507,harm|sym|p_peak,0.4,exp|comb|p_peak,B7GTV0,4,10,80,0.7921,0.01,CB_6RXD,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_7GOS,seeds 50 drug 0,fpocket_hop1,,not_scored,
0.1505,0.6844,gauss|comb|R,0.4,binary|adj|R,Novel cryptic pocket set,14,10,93,0.6783,0.4,PM_1J8F,,fpocket_hop1,pocketminer,scored,drug_contact
0.1548,0.6771,binary|adj|green_zero_0.01,0.6,binary|adj|green_zero_0.01,"Fructose-1,6-bisphosphatase 1",13,10,84,0.6761,0.475,ASB_1FRP,,fpocket_hop1,asbench,scored,curated_allosteric
0.0303,0.9219,exp|sym|R,0.2,binary|sym|residLOG,Glucosamine-6-phosphate isomerase 1,2,10,66,0.8963,0.425,ASB_1NE7,,fpocket_hop1,asbench,scored,curated_allosteric
0.1169,0.8497,binary|comb|R,0.4,binary|adj|green_zero_0.05,Tyrosine-protein phosphatase non-receptor type 1,9,10,77,0.718,0.015,ASB_1T49,,fpocket_hop1,asbench,scored,curated_allosteric
0.0463,0.8369,harm|comb|R,0.4,harm|comb|R,"Glycogen phosphorylase, muscle form",5,10,108,0.7801,0.165,ASB_1Z8D_1,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2J0X,seeds 74 drug 0,fpocket_hop1,,not_scored,
0.0694,0.7851,binary|sym|R,0.4,harm|comb|residLOG,Androgen receptor,5,10,72,0.7625,0.4,ASB_2QPY,,fpocket_hop1,asbench,scored,curated_allosteric
0.1667,0.6793,gauss|adj|green_lmax_0.05,0.2,binary|adj|green_zero_0.01,Multifunctional 2-oxoglutarate metabolism enzyme,13,10,78,0.6666,0.375,ASB_2Y0P,,fpocket_hop1,asbench,scored,curated_allosteric
0.0617,0.7026,binary|adj|R,0.2,binary|comb|R,"Glycogen phosphorylase, muscle form",5,10,81,0.7713,0.87,ASB_3E3N,,fpocket_hop1,asbench,scored,curated_allosteric
0.1649,0.6628,binary|adj|green_zero_0.05,0.4,binary|comb|p_avg,Pyruvate kinase PKM,16,10,97,0.6651,0.475,ASB_3H6O,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3LU6,seeds 120 drug 0,fpocket_hop1,,not_scored,
0.0556,0.8272,exp|comb|R,0.4,exp|comb|R,Mitogen-activated protein kinase 14,4,10,72,0.7975,0.35,ASB_4E6C,,fpocket_hop1,asbench,scored,curated_allosteric
0.0263,0.8514,harm|adj|R,0.2,gauss|adj|R,HD domain protein,2,10,76,0.8854,0.735,ASB_4LRL,,fpocket_hop1,asbench,scored,curated_allosteric
0.1188,0.9064,binary|adj|residLOG,0.6,binary|adj|residLOG,CAS0027,12,10,101,0.664,0.0,CAS_1DGK,,fpocket_hop1,casbench,scored,curated_allosteric
0.0244,0.9625,binary|comb|residLOG,0.2,binary|adj|green_zero_0.05,CAS0001,2,10,82,0.8995,0.195,CAS_1OWC,,fpocket_hop1,casbench,scored,curated_allosteric
0.1053,0.7157,gauss|sym|R,0.4,binary|comb|R,CAS0040,6,10,57,0.7344,0.605,CAS_2P9E,,fpocket_hop1,casbench,scored,curated_allosteric
0.0494,0.8279,gauss|sym|R,0.2,exp|sym|R,CAS0002,4,10,81,0.7778,0.25,CAS_3I1Y,,fpocket_hop1,casbench,scored,curated_allosteric
0.1163,0.8,harm|sym|residLOG,0.4,binary|adj|residLOG,CAS0001,10,10,86,0.7025,0.03,CAS_4G6B,,fpocket_hop1,casbench,scored,curated_allosteric
0.1,0.644,exp|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,CAS0001,7,10,70,0.7357,0.95,CAS_4JAG,,fpocket_hop1,casbench,scored,curated_allosteric
0.2619,0.5902,binary|sym|green_zero_0.01,0.4,gauss|adj|R,CAS0002,22,10,84,0.6409,0.905,CAS_5AIA,,fpocket_hop1,casbench,scored,curated_allosteric
0.2125,0.634,gauss|adj|R,0.6,binary|sym|residRAW,CAS0002,17,10,80,0.6542,0.67,CAS_5AKH,,fpocket_hop1,casbench,scored,curated_allosteric
0.0556,0.8562,exp|sym|R,0.2,binary|comb|residLOG,CAS0002,3,10,54,0.8315,0.365,CAS_5ALF,,fpocket_hop1,casbench,scored,curated_allosteric
0.2588,0.6342,binary|adj|R,0.6,binary|adj|R,CAS0002,22,10,85,0.6344,0.44,CAS_5ALO,,fpocket_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_5ALW,seeds 60 drug 0,fpocket_hop1,,not_scored,
0.2069,0.7568,exp|adj|R,0.6,binary|adj|R,CAS0002,18,10,87,0.651,0.0,CAS_5AM5,,fpocket_hop1,casbench,scored,curated_allosteric
0.1909,0.8133,binary|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,P00489,21,10,110,0.6444,0.0,CB_1NOK,,fpocket_hop1,cryptobench,scored,drug_contact
0.0299,0.9231,exp|adj|R,0.2,binary|adj|residLOG,Q5ZUA2,2,10,67,0.9,0.46,CB_3AAR,,fpocket_hop1,cryptobench,scored,drug_contact
0.0417,0.9565,gauss|adj|green_zero_0.05,0.4,gauss|adj|green_zero_0.05,Q5S3I3,3,10,72,0.8428,0.045,CB_3GL0,,fpocket_hop1,cryptobench,scored,drug_contact
0.0408,0.9681,binary|comb|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,Q72498,2,10,49,0.9099,0.185,CB_3VQ9,,fpocket_hop1,cryptobench,scored,drug_contact
0.0758,0.8984,binary|sym|green_lmax_0.05,0.4,binary|sym|green_lmax_0.05,P33284,5,10,66,0.7726,0.02,CB_4JAX,,fpocket_hop1,cryptobench,scored,drug_contact
0.0909,0.6367,harm|comb|residLOG,0.2,binary|sym|R,P53590,7,10,77,0.7198,0.95,CB_5CAE,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_5IWI,seeds 81 drug 0,fpocket_hop1,,not_scored,
0.0274,0.8873,gauss|sym|R,0.2,binary|comb|R,P9WNV1,2,10,73,0.9079,0.685,CB_6KSC,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6U9C,seeds 67 drug 0,fpocket_hop1,,not_scored,
0.026,0.9133,binary|sym|residLOG,0.2,binary|adj|R,O23254,2,10,77,0.8941,0.43,CB_7Q00,,fpocket_hop1,cryptobench,scored,drug_contact
0.0556,0.8071,exp|adj|R,0.4,binary|sym|R,"NAD-dependent malic enzyme, mitochondrial",5,10,90,0.7717,0.275,ASB_1GZ3,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1NH8,seeds 76 drug 0,fpocket_hop1,,not_scored,
0.0256,0.8618,binary|comb|R,0.2,binary|comb|R,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,2,10,78,0.9026,0.77,ASB_1UXV,,fpocket_hop1,asbench,scored,curated_allosteric
0.1071,0.7185,harm|sym|R,0.4,binary|adj|R,Pyruvate dehydrogenase kinase isozyme 2,9,10,84,0.6971,0.36,ASB_2BU8,,fpocket_hop1,asbench,scored,curated_allosteric
0.0441,0.8,exp|adj|green_zero_0.01,0.4,exp|adj|green_zero_0.01,"Tryptophan 2,3-dioxygenase",3,10,68,0.8437,0.765,ASB_2NW8,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2R1R,seeds 89 drug 0,fpocket_hop1,,not_scored,
0.1562,0.7093,harm|adj|residLOG,0.4,binary|sym|residLOG,Androgen receptor,10,10,64,0.7011,0.45,ASB_2YLO,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETE_1,seeds 82 drug 0,fpocket_hop1,,not_scored,
0.1875,0.6749,binary|adj|R,0.6,gauss|comb|residLOG,Pyruvate kinase,15,10,80,0.6655,0.365,ASB_3HQP,,fpocket_hop1,asbench,scored,curated_allosteric
0.1463,0.6774,gauss|comb|R,0.4,binary|comb|R,Mitogen-activated protein kinase 8,12,10,82,0.6962,0.615,ASB_3O2M,,fpocket_hop1,asbench,scored,curated_allosteric
0.0189,0.8798,binary|adj|R,0.0,binary|adj|p_avg,Pyruvate kinase PKM,2,10,106,0.9014,0.725,ASB_4G1N,,fpocket_hop1,asbench,scored,curated_allosteric
0.0928,0.6578,harm|sym|R,0.4,binary|comb|R,"Glycogen phosphorylase, muscle form",9,10,97,0.7112,0.85,ASB_4MRA,,fpocket_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1I2D,seeds 80 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CAS_1PSD,seeds 56 drug 0,fpocket_hop1,,not_scored,
,,,,,,,,,,,CAS_2P9G,seeds 61 drug 0,fpocket_hop1,,not_scored,
0.1429,0.7859,gauss|comb|R,0.6,gauss|comb|R,CAS0002,12,10,84,0.6754,0.02,CAS_3I28,,fpocket_hop1,casbench,scored,curated_allosteric
0.0326,0.8689,binary|adj|p_peak,0.0,binary|adj|p_avg,CAS0001,3,10,92,0.8356,0.34,CAS_4JAD,,fpocket_hop1,casbench,scored,curated_allosteric
0.1852,0.7384,binary|adj|R,0.4,binary|adj|R,CAS0002,15,10,81,0.6573,0.05,CAS_5AHX,,fpocket_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_5AK4,seeds 41 drug 0,fpocket_hop1,,not_scored,
0.2619,0.6943,gauss|comb|R,0.8,binary|adj|R,CAS0002,22,10,84,0.6366,0.07,CAS_5AKX,,fpocket_hop1,casbench,scored,curated_allosteric
0.2836,0.6721,exp|adj|R,0.6,harm|sym|R,CAS0002,19,10,67,0.6555,0.345,CAS_5ALH,,fpocket_hop1,casbench,scored,curated_allosteric
0.0172,0.9825,gauss|adj|green_zero_0.01,0.2,gauss|adj|green_zero_0.01,CAS0002,1,10,58,0.966,0.615,CAS_5ALT,,fpocket_hop1,casbench,scored,curated_allosteric
0.2588,0.6392,exp|comb|R,0.8,binary|adj|R,CAS0002,22,10,85,0.6433,0.505,CAS_5ALY,,fpocket_hop1,casbench,scored,curated_allosteric
0.0405,0.8498,harm|sym|residRAW,0.2,binary|adj|green_zero_0.05,P18031,3,10,74,0.846,0.48,CB_1BZJ,,fpocket_hop1,cryptobench,scored,drug_contact
0.0435,0.7273,gauss|adj|green_zero_0.01,0.0,binary|adj|p_avg,P02879,3,10,69,0.8433,0.94,CB_1RTC,,fpocket_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BGL,seeds 70 drug 0,fpocket_hop1,,not_scored,
0.197,0.6502,gauss|comb|residLOG,0.4,binary|comb|residLOG,A7ASX7,13,10,66,0.6755,0.645,CB_3KJR,,fpocket_hop1,cryptobench,scored,drug_contact
0.0198,0.9091,exp|sym|residLOG,0.2,binary|comb|p_peak,Q9WYL6,2,10,101,0.8928,0.445,CB_4CON,,fpocket_hop1,cryptobench,scored,drug_contact
0.0685,0.7559,binary|adj|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,P07814,5,10,73,0.7676,0.53,CB_4K86,,fpocket_hop1,cryptobench,scored,drug_contact
0.06,0.8794,binary|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Q89ZX5,6,10,100,0.7456,0.015,CB_5CK1,,fpocket_hop1,cryptobench,scored,drug_contact
0.0549,0.6907,binary|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,O32553,5,10,91,0.774,0.915,CB_5UXA,,fpocket_hop1,cryptobench,scored,drug_contact
0.0909,0.9,gauss|adj|green_lmax_0.05,0.4,gauss|adj|green_lmax_0.05,Q9HY79,4,8,44,0.8171,0.08,CB_6NLF,,fpocket_hop1,cryptobench,scored,drug_contact
0.0116,0.9765,gauss|adj|R,0.2,gauss|adj|p_peak,P08149,1,10,86,0.9772,0.76,CB_6XQX,,fpocket_hop1,cryptobench,scored,drug_contact
0.0161,0.9836,harm|adj|R,0.2,harm|adj|R,G3XDA2,1,10,62,0.9793,0.705,CB_8CN8,,fpocket_hop1,cryptobench,scored,drug_contact
0.1967,0.7534,binary|sym|residLOG,0.6,binary|sym|residRAW,Pyruvate kinase 1,12,10,61,0.6935,0.12,ASB_1A3W,,fpocket_hop2,asbench,scored,curated_allosteric
0.0417,0.8696,gauss|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,Anaerobic ribonucleoside-triphosphate reductase,2,10,48,0.8974,0.69,ASB_1H78,,fpocket_hop2,asbench,scored,curated_allosteric
0.186,0.6964,binary|adj|green_zero_0.01,0.6,harm|comb|R,ATP-dependent 6-phosphofructokinase isozyme 1,8,10,43,0.7196,0.64,ASB_1PFK,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1W25,seeds 75 drug 0,fpocket_hop2,,not_scored,
0.175,0.9091,gauss|adj|green_lmax_0.05,0.8,exp|adj|green_lmax_0.05,Serum albumin,14,10,80,0.6762,0.0,ASB_2BXA,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2PA3,seeds 63 drug 0,fpocket_hop2,,not_scored,
0.027,1.0,binary|adj|R,0.2,binary|adj|R,ATP phosphoribosyltransferase,1,10,37,0.9796,0.55,ASB_2VD3,,fpocket_hop2,asbench,scored,curated_allosteric
0.0659,0.6902,gauss|comb|green_lmax_0.05,0.4,gauss|comb|residLOG,"Glycogen phosphorylase, liver form",6,10,91,0.755,0.875,ASB_3CEH,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETG,seeds 72 drug 0,fpocket_hop2,,not_scored,
0.1818,0.6712,binary|sym|residLOG,0.6,gauss|sym|residLOG,"Fructose-1,6-bisphosphatase isozyme 2",14,10,77,0.686,0.635,ASB_3IFA,,fpocket_hop2,asbench,scored,curated_allosteric
0.069,0.7685,binary|adj|R,0.4,binary|adj|residLOG,Phospho-2-dehydro-3-deoxyheptonate aldolase,4,10,58,0.7948,0.585,ASB_3PG9,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_4GRS,seeds 44 drug 0,fpocket_hop2,,not_scored,
0.1667,0.7347,harm|sym|R,0.4,binary|sym|residLOG,ATP-dependent 6-phosphofructokinase,7,10,42,0.7478,0.58,ASB_4PFK,,fpocket_hop2,asbench,scored,curated_allosteric
0.0566,0.94,binary|adj|p_avg,0.4,binary|adj|p_avg,CAS0001,3,10,53,0.8415,0.08,CAS_1NXE,,fpocket_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1YBA,seeds 59 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CAS_2PA3,seeds 49 drug 0,fpocket_hop2,,not_scored,
0.3279,0.7037,binary|sym|green_zero_0.01,0.6,harm|sym|R,CAS0002,20,10,61,0.6621,0.175,CAS_3KOO,,fpocket_hop2,casbench,scored,curated_allosteric
0.2308,0.7604,gauss|adj|green_lmax_0.05,0.6,binary|adj|p_avg,CAS0001,12,10,52,0.7055,0.135,CAS_4JAE,,fpocket_hop2,casbench,scored,curated_allosteric
0.25,0.6674,exp|adj|R,0.8,exp|adj|R,CAS0002,21,10,84,0.6408,0.24,CAS_5AI4,,fpocket_hop2,casbench,scored,curated_allosteric
0.3529,0.6619,binary|sym|green_zero_0.01,0.4,binary|adj|R,CAS0002,24,10,68,0.6529,0.385,CAS_5AK5,,fpocket_hop2,casbench,scored,curated_allosteric
0.303,0.8261,binary|sym|green_zero_0.01,0.8,binary|sym|green_zero_0.01,CAS0002,20,10,66,0.6652,0.0,CAS_5AKY,,fpocket_hop2,casbench,scored,curated_allosteric
0.3333,0.6775,gauss|sym|R,0.6,binary|adj|R,CAS0002,13,10,39,0.6908,0.555,CAS_5ALM,,fpocket_hop2,casbench,scored,curated_allosteric
0.2297,0.6594,gauss|sym|R,0.6,exp|sym|R,CAS0002,17,10,74,0.6578,0.455,CAS_5ALU,,fpocket_hop2,casbench,scored,curated_allosteric
0.2759,0.8631,gauss|adj|R,0.8,gauss|adj|R,CAS0002,8,10,29,0.7374,0.045,CAS_5AM0,,fpocket_hop2,casbench,scored,curated_allosteric
0.0566,0.9267,binary|comb|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,P00590,3,10,53,0.8412,0.105,CB_1CUZ,,fpocket_hop2,cryptobench,scored,drug_contact
0.08,0.9565,harm|adj|green_zero_0.01,0.6,exp|adj|p_peak,Q93096,4,9,50,0.8036,0.01,CB_1RXD,,fpocket_hop2,cryptobench,scored,drug_contact
0.1531,0.7574,exp|comb|R,0.6,exp|comb|R,P25114,15,10,98,0.6637,0.025,CB_3BIF,,fpocket_hop2,cryptobench,scored,drug_contact
