protein,frac_top1,n_cells,k,n,cluster,chance,excess
CAS_1NXE,0.16826923076923078,208,1,8,CAS0001,0.125,0.04326923076923078
CAS_1NXG,0.20673076923076922,208,1,9,CAS0001,0.1111111111111111,0.09561965811965811
CAS_1OWC,0.11538461538461539,208,1,7,CAS0001,0.14285714285714285,-0.027472527472527458
CAS_2P9E,0.02403846153846154,208,1,8,CAS0040,0.125,-0.10096153846153846
CAS_3I28,0.004807692307692308,208,1,8,CAS0002,0.125,-0.1201923076923077
CAS_3KOO,0.052884615384615384,208,1,6,CAS0002,0.16666666666666666,-0.11378205128205127
CAS_3OTQ,0.028846153846153848,208,1,8,CAS0002,0.125,-0.09615384615384615
CAS_4G6B,0.21153846153846154,208,1,8,CAS0001,0.125,0.08653846153846154
CAS_4JAD,0.02403846153846154,208,1,9,CAS0001,0.1111111111111111,-0.08707264957264957
CAS_4JAE,0.03365384615384615,208,1,9,CAS0001,0.1111111111111111,-0.07745726495726496
CAS_4JAF,0.07692307692307693,208,1,8,CAS0001,0.125,-0.04807692307692307
CAS_4JAG,0.08653846153846154,208,1,7,CAS0001,0.14285714285714285,-0.05631868131868131
CAS_5AHX,0.014423076923076924,208,1,6,CAS0002,0.16666666666666666,-0.15224358974358973
CAS_5AI4,0.04807692307692308,208,1,7,CAS0002,0.14285714285714285,-0.09478021978021978
CAS_5AI5,0.07211538461538461,208,1,6,CAS0002,0.16666666666666666,-0.09455128205128205
CAS_5AIA,0.04326923076923077,208,1,8,CAS0002,0.125,-0.08173076923076923
CAS_5AK4,0.028846153846153848,208,1,6,CAS0002,0.16666666666666666,-0.1378205128205128
CAS_5AK5,0.0625,208,1,7,CAS0002,0.14285714285714285,-0.08035714285714285
CAS_5AKE,0.10576923076923077,208,1,6,CAS0002,0.16666666666666666,-0.06089743589743589
CAS_5AKH,0.13942307692307693,208,1,7,CAS0002,0.14285714285714285,-0.003434065934065922
CAS_5AKX,0.04807692307692308,208,1,8,CAS0002,0.125,-0.07692307692307693
CAS_5AKY,0.03365384615384615,208,1,6,CAS0002,0.16666666666666666,-0.1330128205128205
CAS_5ALD,0.028846153846153848,208,1,6,CAS0002,0.16666666666666666,-0.1378205128205128
CAS_5ALF,0.0673076923076923,208,1,4,CAS0002,0.25,-0.1826923076923077
CAS_5ALH,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALO,0.028846153846153848,208,1,7,CAS0002,0.14285714285714285,-0.114010989010989
CAS_5ALU,0.14423076923076922,208,1,7,CAS0002,0.14285714285714285,0.0013736263736263687
CAS_5ALV,0.0673076923076923,208,1,5,CAS0002,0.2,-0.13269230769230772
CAS_5ALW,0.02403846153846154,208,1,6,CAS0002,0.16666666666666666,-0.14262820512820512
CAS_5ALY,0.019230769230769232,208,1,6,CAS0002,0.16666666666666666,-0.1474358974358974
CAS_5AM0,0.019230769230769232,208,1,8,CAS0002,0.125,-0.10576923076923077
CAS_5AM4,0.03365384615384615,208,1,5,CAS0002,0.2,-0.16634615384615387
CAS_5AM5,0.014423076923076924,208,1,7,CAS0002,0.14285714285714285,-0.12843406593406592
CB_1BZJ,0.02403846153846154,208,1,8,P18031,0.125,-0.10096153846153846
CB_1CUZ,0.14423076923076922,208,1,8,P00590,0.125,0.019230769230769218
CB_1K0N,0.04807692307692308,208,1,8,O00299,0.125,-0.07692307692307693
CB_1NOK,0.1346153846153846,208,1,8,P00489,0.125,0.009615384615384609
CB_1RTC,0.014423076923076924,208,1,8,P02879,0.125,-0.11057692307692307
CB_1RXD,0.3125,208,1,8,Q93096,0.125,0.1875
CB_2ZJ7,0.038461538461538464,208,1,9,Q9RBY1,0.1111111111111111,-0.07264957264957264
CB_3BIF,0.052884615384615384,208,1,8,P25114,0.125,-0.07211538461538461
CB_3U6K,0.03365384615384615,208,1,9,P0CE47,0.1111111111111111,-0.07745726495726496
CB_4DNC,0.12980769230769232,208,1,9,Q9H7Z6,0.1111111111111111,0.018696581196581213
CB_4I8Y,0.057692307692307696,208,1,9,P45723,0.1111111111111111,-0.05341880341880341
CB_5CAE,0.004807692307692308,208,1,9,P53590,0.1111111111111111,-0.1063034188034188
CB_5CK1,0.1778846153846154,208,1,9,Q89ZX5,0.1111111111111111,0.06677350427350429
CB_5GGC,0.03365384615384615,208,1,9,A0QUZ2,0.1111111111111111,-0.07745726495726496
CB_5UXA,0.014423076923076924,208,1,9,O32553,0.1111111111111111,-0.09668803418803418
CB_6AQE,0.27884615384615385,208,1,6,Q9RY20,0.16666666666666666,0.1121794871794872
CB_6KSC,0.009615384615384616,208,1,9,P9WNV1,0.1111111111111111,-0.1014957264957265
CB_6RXD,0.4230769230769231,208,1,9,B7GTV0,0.1111111111111111,0.31196581196581197
CS_2ZB1,0.014423076923076924,208,1,9,2ZB1,0.1111111111111111,-0.09668803418803418
PM_1J8F,0.02403846153846154,208,1,9,Novel cryptic pocket set,0.1111111111111111,-0.08707264957264957
