protein,frac_top1,n_cells,k,n,cluster,chance,excess
CAS_5ALU,0.1778846153846154,208,2,9,CAS0002,0.2222222222222222,-0.04433760683760682
CAS_5ALV,0.08653846153846154,208,2,7,CAS0002,0.2857142857142857,-0.19917582417582416
CAS_5ALW,0.02403846153846154,208,1,9,CAS0002,0.1111111111111111,-0.08707264957264957
CAS_5ALY,0.014423076923076924,208,1,7,CAS0002,0.14285714285714285,-0.12843406593406592
CAS_5AM0,0.02403846153846154,208,1,8,CAS0002,0.125,-0.10096153846153846
CAS_5AM4,0.04807692307692308,208,1,8,CAS0002,0.125,-0.07692307692307693
CAS_5AM5,0.11057692307692307,208,2,8,CAS0002,0.25,-0.13942307692307693
CB_1K0N,0.04807692307692308,208,1,8,O00299,0.125,-0.07692307692307693
CB_4DNC,0.08653846153846154,208,1,9,Q9H7Z6,0.1111111111111111,-0.02457264957264957
CB_4I8Y,0.038461538461538464,208,1,9,P45723,0.1111111111111111,-0.07264957264957264
CB_4TWI,0.03365384615384615,208,1,9,O28597,0.1111111111111111,-0.07745726495726496
CB_5CK1,0.14903846153846154,208,1,9,Q89ZX5,0.1111111111111111,0.03792735042735043
CB_5GGC,0.014423076923076924,208,1,9,A0QUZ2,0.1111111111111111,-0.09668803418803418
CB_5HQ8,0.07692307692307693,208,1,9,Q9H7B4,0.1111111111111111,-0.03418803418803418
CB_6KSC,0.009615384615384616,208,1,9,P9WNV1,0.1111111111111111,-0.1014957264957265
CB_6RXD,0.4230769230769231,208,1,9,B7GTV0,0.1111111111111111,0.31196581196581197
CS_2ZB1,0.019230769230769232,208,1,9,2ZB1,0.1111111111111111,-0.09188034188034187
PM_1J8F,0.02403846153846154,208,1,9,Novel cryptic pocket set,0.1111111111111111,-0.08707264957264957
