family,family_size,structures_cleared,best_AUC,winning_hamiltonians,winning_scores
O32553,1,1,0.773,hnew/full,QMI;p_avg;p_peak;pavg_over_dE;pavg_over_dX;residLOG;residLOG_dE;residRAW
A5Y459,1,1,0.769,binary/comb;exp/adj;exp/comb;exp/sym;gauss/sym;harm/sym;hnew/full,QMI;green_lmax_0.05;neg_dE;residLOG_dX;residRAW_dX
P25114,1,1,0.769,binary/adj;exp/comb,R;residLOG_dX;residRAW_dX
O33839,1,1,0.765,binary/sym;hnew/full,R;neg_dE
Pyruvate kinase PKM,4,1,0.764,hnew/full,neg_dD_mean;residLOG_dX;residRAW_dX
Elongation factor TU,1,1,0.76,binary/sym;gauss/comb;gauss/sym;hnew/full,green_lmax_0.05;green_zero_0.01;pavg_over_dE
Q72KY0,1,1,0.73,hnew/full,neg_dD_mean;residLOG_dX
Pyruvate kinase PKLR,1,1,0.716,exp/sym;hnew/full,R;neg_dD_mean;residLOG_dX;residRAW_dX
P03433,1,1,0.714,binary/adj,green_zero_0.01
Q84HF5,1,1,0.696,hnew/full,residLOG_dE
A0QUZ2,1,1,0.681,binary/adj;gauss/adj,green_lmax_0.05
B4E6Z1,1,1,0.667,exp/comb,neg_dD_mean
P44801,1,1,0.652,binary/sym;gauss/comb;hnew/full,neg_dD_mean;neg_dE;residRAW_dX
Q00972,1,1,0.618,gauss/sym,QMI
CAS0067,2,1,0.616,hnew/full,residRAW_dX
